dates,prices,logret,pct
03/03/2006,1287.23,-0.0014827065599387623,-0.14827065599387623
06/03/2006,1278.26,-0.006992844682792487,-0.6992844682792487
07/03/2006,1275.88,-0.0018636415300985476,-0.18636415300985476
08/03/2006,1278.47,0.0020279138627046223,0.20279138627046223
09/03/2006,1272.23,-0.004892784293292429,-0.4892784293292429
10/03/2006,1281.58,0.007322425534598054,0.7322425534598054
13/03/2006,1284.13,0.001987754531589836,0.1987754531589836
14/03/2006,1297.48,0.010342475432269183,1.0342475432269183
15/03/2006,1303.02,0.004260725538161481,0.42607255381614806
16/03/2006,1305.33,0.0017712351516667724,0.17712351516667724
17/03/2006,1307.25,0.0014698117153582047,0.14698117153582047
20/03/2006,1305.08,-0.0016613525083863934,-0.16613525083863934
21/03/2006,1297.23,-0.006033119659604402,-0.6033119659604402
22/03/2006,1305.04,0.00600246972779761,0.600246972779761
23/03/2006,1301.67,-0.002585636206187125,-0.2585636206187125
24/03/2006,1302.95,0.0009828689813051739,0.09828689813051739
27/03/2006,1301.61,-0.0010289646759753523,-0.10289646759753523
28/03/2006,1293.23,-0.006458994877124091,-0.6458994877124091
29/03/2006,1302.89,0.007441909143242498,0.7441909143242498
30/03/2006,1300.25,-0.002028320340126122,-0.20283203401261218
31/03/2006,1294.83,-0.004177141268020712,-0.4177141268020712
03/04/2006,1297.81,0.002298816119732372,0.2298816119732372
04/04/2006,1305.93,0.006237202120131791,0.6237202120131791
05/04/2006,1311.56,0.004301837777646256,0.4301837777646256
06/04/2006,1309.04,-0.0019232242820317325,-0.19232242820317325
07/04/2006,1295.5,-0.010397323118475299,-1.03973231184753
10/04/2006,1296.6,0.0008487327387305399,0.08487327387305399
11/04/2006,1286.57,-0.0077656913061714405,-0.776569130617144
12/04/2006,1288.12,0.001204028591597961,0.1204028591597961
13/04/2006,1289.12,0.0007760240025644904,0.07760240025644904
17/04/2006,1285.33,-0.002944320330918515,-0.2944320330918515
18/04/2006,1307.65,0.01721613841430436,1.721613841430436
19/04/2006,1309.93,0.0017420675407153752,0.17420675407153752
20/04/2006,1311.46,0.0011673197606887342,0.11673197606887342
21/04/2006,1311.28,-0.00013726103257116762,-0.013726103257116762
24/04/2006,1308.11,-0.002420412040660125,-0.24204120406601248
25/04/2006,1301.74,-0.004881516293526289,-0.4881516293526289
26/04/2006,1305.41,0.0028153366120644563,0.28153366120644563
27/04/2006,1309.72,0.0032962062324521924,0.32962062324521924
28/04/2006,1310.61,0.0006793037779395661,0.06793037779395661
01/05/2006,1305.19,-0.004144053640607659,-0.4144053640607659
02/05/2006,1313.21,0.006125897555969928,0.6125897555969928
03/05/2006,1307.85,-0.004089954042803434,-0.4089954042803434
